dataset_size,subset_size,coverage_threshold,#females,#questions,result
176000,50,50,50,3508,True
181000,50,50,50,3569,True
181000,50,50,50,3663,True
181000,50,50,50,3475,True
181000,50,50,50,3556,True
181000,50,50,50,3585,True
181000,50,50,50,3661,True
181000,50,50,50,3662,True
181000,50,50,50,3250,True
181000,50,50,50,3610,True
181000,50,50,50,3634,True
181000,50,50,50,3471,True
181000,50,50,50,3608,True
181000,50,50,50,3466,True
181000,50,50,50,3682,True
181000,50,50,50,3654,True
181000,50,50,50,3590,True
181000,50,50,50,3612,True
181000,50,50,50,3693,True
181000,50,50,50,3618,True
181000,50,50,50,3655,True
186000,50,50,50,3635,True
186000,50,50,50,3671,True
186000,50,50,50,3664,True
186000,50,50,50,3613,True
186000,50,50,50,3718,True
186000,50,50,50,3776,True
186000,50,50,50,3664,True
186000,50,50,50,3645,True
186000,50,50,50,3717,True
186000,50,50,50,3777,True
186000,50,50,50,3718,True
186000,50,50,50,3664,True
186000,50,50,50,4017,True
186000,50,50,50,3756,True
186000,50,50,50,3926,True
186000,50,50,50,3719,True
186000,50,50,50,3655,True
186000,50,50,50,3625,True
186000,50,50,50,3700,True
186000,50,50,50,3616,True
191000,50,50,50,3675,True
191000,50,50,50,3658,True
191000,50,50,50,3850,True
191000,50,50,50,3734,True
191000,50,50,50,3885,True
191000,50,50,50,3784,True
191000,50,50,50,3764,True
191000,50,50,50,3818,True
191000,50,50,50,3807,True
191000,50,50,50,3724,True
191000,50,50,50,3769,True
191000,50,50,50,3720,True
191000,50,50,50,3795,True
191000,50,50,50,3782,True
191000,50,50,50,3679,True
191000,50,50,50,3638,True
191000,50,50,50,4004,True
191000,50,50,50,3829,True
191000,50,50,50,3812,True
191000,50,50,50,3775,True
196000,50,50,50,3784,True
196000,50,50,50,3808,True
196000,50,50,50,4078,True
196000,50,50,50,3825,True
196000,50,50,50,3842,True
196000,50,50,50,4229,True
196000,50,50,50,4125,True
196000,50,50,50,3945,True
196000,50,50,50,3895,True
196000,50,50,50,3910,True
196000,50,50,50,3836,True
196000,50,50,50,3901,True
196000,50,50,50,3873,True
196000,50,50,50,4125,True
196000,50,50,50,3863,True
196000,50,50,50,3872,True
196000,50,50,50,4190,True
196000,50,50,50,4241,True
196000,50,50,50,3896,True
196000,50,50,50,4007,True
201000,50,50,50,3942,True
201000,50,50,50,3789,True
201000,50,50,50,3925,True
201000,50,50,50,3770,True
201000,50,50,50,4076,True
201000,50,50,50,3921,True
201000,50,50,50,4359,True
201000,50,50,50,3828,True
201000,50,50,50,3917,True
201000,50,50,50,3940,True
201000,50,50,50,3872,True
201000,50,50,50,3947,True
201000,50,50,50,3982,True
201000,50,50,50,3987,True
201000,50,50,50,4017,True
201000,50,50,50,3995,True
201000,50,50,50,3963,True
201000,50,50,50,3973,True
201000,50,50,50,4049,True
201000,50,50,50,4421,True
206000,50,50,50,4124,True
206000,50,50,50,4035,True
206000,50,50,50,4119,True
206000,50,50,50,4056,True
206000,50,50,50,4116,True
206000,50,50,50,4082,True
206000,50,50,50,4089,True
206000,50,50,50,4076,True
206000,50,50,50,4103,True
206000,50,50,50,3998,True
206000,50,50,50,4194,True
206000,50,50,50,4113,True
206000,50,50,50,4060,True
206000,50,50,50,4051,True
206000,50,50,50,4081,True
206000,50,50,50,4118,True
206000,50,50,50,4256,True
206000,50,50,50,3995,True
206000,50,50,50,4199,True
206000,50,50,50,4108,True
211000,50,50,50,4141,True
211000,50,50,50,4436,True
211000,50,50,50,4188,True
211000,50,50,50,4206,True
211000,50,50,50,4209,True
211000,50,50,50,4160,True
211000,50,50,50,4218,True
211000,50,50,50,4206,True
211000,50,50,50,3966,True
211000,50,50,50,4185,True
211000,50,50,50,4288,True
211000,50,50,50,4144,True
211000,50,50,50,4194,True
211000,50,50,50,4188,True
211000,50,50,50,4194,True
211000,50,50,50,3975,True
211000,50,50,50,4163,True
211000,50,50,50,4174,True
211000,50,50,50,3996,True
211000,50,50,50,4129,True
216000,50,50,50,4267,True
216000,50,50,50,4178,True
216000,50,50,50,4285,True
216000,50,50,50,4011,True
216000,50,50,50,4391,True
216000,50,50,50,4335,True
216000,50,50,50,4301,True
216000,50,50,50,4270,True
216000,50,50,50,4330,True
216000,50,50,50,4274,True
216000,50,50,50,4243,True
216000,50,50,50,4152,True
216000,50,50,50,4337,True
216000,50,50,50,4364,True
216000,50,50,50,4342,True
216000,50,50,50,4267,True
216000,50,50,50,4167,True
216000,50,50,50,4322,True
216000,50,50,50,4309,True
216000,50,50,50,4280,True
221000,50,50,50,4493,True
221000,50,50,50,4416,True
221000,50,50,50,4408,True
221000,50,50,50,4403,True
221000,50,50,50,4336,True
221000,50,50,50,4346,True
221000,50,50,50,4409,True
221000,50,50,50,4470,True
221000,50,50,50,4392,True
221000,50,50,50,4337,True
221000,50,50,50,4385,True
221000,50,50,50,4333,True
221000,50,50,50,4411,True
221000,50,50,50,4292,True
221000,50,50,50,4434,True
221000,50,50,50,4385,True
221000,50,50,50,4308,True
221000,50,50,50,4559,True
221000,50,50,50,4473,True
221000,50,50,50,4438,True
226000,50,50,50,4394,True
226000,50,50,50,4470,True
226000,50,50,50,4338,True
226000,50,50,50,4742,True
226000,50,50,50,4307,True
226000,50,50,50,4344,True
226000,50,50,50,4462,True
226000,50,50,50,4381,True
226000,50,50,50,4422,True
226000,50,50,50,4506,True
226000,50,50,50,4417,True
226000,50,50,50,4473,True
226000,50,50,50,4556,True
226000,50,50,50,4659,True
226000,50,50,50,4496,True
226000,50,50,50,4505,True
226000,50,50,50,4467,True
226000,50,50,50,4452,True
226000,50,50,50,4520,True
226000,50,50,50,4097,True
231000,50,50,50,4551,True
231000,50,50,50,4404,True
231000,50,50,50,4615,True
231000,50,50,50,4728,True
231000,50,50,50,4512,True
231000,50,50,50,4586,True
231000,50,50,50,4454,True
231000,50,50,50,4862,True
231000,50,50,50,4633,True
231000,50,50,50,4458,True
231000,50,50,50,4471,True
231000,50,50,50,4594,True
231000,50,50,50,4676,True
231000,50,50,50,4648,True
231000,50,50,50,4610,True
231000,50,50,50,4655,True
231000,50,50,50,4501,True
231000,50,50,50,4540,True
231000,50,50,50,4547,True
231000,50,50,50,4461,True
236000,50,50,50,4614,True
236000,50,50,50,4726,True
236000,50,50,50,4988,True
236000,50,50,50,4702,True
236000,50,50,50,4407,True
236000,50,50,50,4601,True
236000,50,50,50,4682,True
236000,50,50,50,4629,True
236000,50,50,50,4590,True
236000,50,50,50,4490,True
236000,50,50,50,4713,True
236000,50,50,50,4711,True
236000,50,50,50,4603,True
236000,50,50,50,4958,True
236000,50,50,50,4940,True
236000,50,50,50,4915,True
236000,50,50,50,4717,True
236000,50,50,50,4473,True
236000,50,50,50,4676,True
236000,50,50,50,4863,True
241000,50,50,50,4667,True
